Territori,Tipus de territori,Ús,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
la Prosperitat,Barri,Residencial,45.80,45.80,45.80,45.80,45.80,46.01,45.96,45.96,45.95,45.80,45.80,45.80,-
la Prosperitat,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Prosperitat,Barri,Equipament,9,9,9,9,8.97,8.76,8.80,8.80,9.00,9.14,9.14,9.14,-
la Trinitat Nova,Barri,Residencial,22.40,22.40,22.40,22.40,22.44,22.44,22.44,22.42,21.78,21.78,21.78,21.78,-
la Trinitat Nova,Barri,Industrial i infraestructures,9,9,9,9,9.04,9.04,9.04,8.94,9.60,9.60,9.60,9.60,-
la Trinitat Nova,Barri,Equipament,12.40,12.40,12.40,12.40,12.37,12.37,12.37,12.37,12.02,12.02,12.02,12.02,-
Torre Baró,Barri,Residencial,12.20,12.20,12.20,12.20,12.22,12.22,11.98,11.98,12.16,12.16,12.16,12.16,-
Torre Baró,Barri,Industrial i infraestructures,2,2,2,2,1.96,1.96,1.96,1.96,1.64,1.64,1.64,1.64,-
Torre Baró,Barri,Equipament,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.35,3.35,3.35,3.35,-
Ciutat Meridiana,Barri,Residencial,42.60,42.60,42.60,42.60,42.61,42.61,42.61,42.61,40.16,40.16,40.16,40.16,-
Ciutat Meridiana,Barri,Industrial i infraestructures,1.50,1.50,1.50,1.50,1.48,1.48,1.48,1.48,1.41,1.41,1.41,1.41,-
Ciutat Meridiana,Barri,Equipament,15.20,15.20,15.20,15.20,15.21,15.21,15.21,15.21,15.62,15.62,15.62,15.62,-
Vallbona,Barri,Residencial,11.30,11.30,11.30,11.30,11.31,11.31,11.36,11.32,11.17,11.17,11.17,11.17,-
Vallbona,Barri,Industrial i infraestructures,16.20,16.20,16.20,16.20,16.24,16.24,16.23,16.18,15.81,15.81,15.81,15.81,-
Vallbona,Barri,Equipament,20.50,20.50,20.50,20.50,20.53,20.53,20.59,20.59,20.53,20.53,20.53,20.53,-
Sant Andreu (Districte),-,Residencial,28.80,28.97,28.95,29.43,29.03,29.32,29.33,29.29,28.93,28.93,28.91,28.91,28.96
Sant Andreu (Districte),-,Industrial i infraestructures,18.15,18.15,18.15,17.44,18.15,17.68,17.65,17.63,16.53,16.50,16.53,16.53,15.35
Sant Andreu (Districte),-,Equipament,7.74,7.69,7.69,7.70,7.60,7.64,7.64,7.65,7.84,7.85,7.85,7.84,7.78
la Trinitat Vella,Barri,Residencial,15.50,15.70,15.70,15.70,15.68,15.68,15.68,15.68,15.77,15.72,15.72,15.72,-
la Trinitat Vella,Barri,Industrial i infraestructures,13.40,13.40,13.40,13.40,13.39,13.39,13.39,13.39,14.29,14.33,14.33,14.33,-
